icl,inst,block
u_hcm_lif_u0_rce_24_ch_1_u0_falcon_top_v1_u0_flexe_v1_u0_flexe_tx_v1_u0_flexe_tx_wrapper_01_v1_u0,u_hcm/lif_u0/rce_24_ch_1_u0/falcon_top_v1_u0/flexe_v1_u0/flexe_tx_v1_u0/flexe_tx_wrapper_01_v1_u0,flexe_tx_wrapper_01_v1
u_hcm_lif_u0_rce_24_ch_1_u0_falcon_top_v1_u0_mac_top_v1_u0_mac_rx_top_v1_u0_mac_rx_adapter_wrapper_0_v1_u0,u_hcm/lif_u0/rce_24_ch_1_u0/falcon_top_v1_u0/mac_top_v1_u0/mac_rx_top_v1_u0/mac_rx_adapter_wrapper_0_v1_u0,mac_rx_adapter_wrapper_0_v1
u_hcm_lif_u0_rce_24_ch_1_u0_falcon_top_v1_u0_mac_top_v1_u0_mac_rx_top_v1_u0_mac_rx_adapter_wrapper_1_v1_u0,u_hcm/lif_u0/rce_24_ch_1_u0/falcon_top_v1_u0/mac_top_v1_u0/mac_rx_top_v1_u0/mac_rx_adapter_wrapper_1_v1_u0,mac_rx_adapter_wrapper_1_v1
u_hcm_lif_u0_rce_24_ch_1_u0_falcon_top_v1_u0_mac_top_v1_u0_mac_rx_top_v1_u0_mac_rx_wrapper_v1_u0,u_hcm/lif_u0/rce_24_ch_1_u0/falcon_top_v1_u0/mac_top_v1_u0/mac_rx_top_v1_u0/mac_rx_wrapper_v1_u0,mac_rx_wrapper_v1
u_hcm_lif_u0_rce_24_ch_1_u0_falcon_top_v1_u0_mac_top_v1_u0_mac_tx_top_v1_u0,u_hcm/lif_u0/rce_24_ch_1_u0/falcon_top_v1_u0/mac_top_v1_u0/mac_tx_top_v1_u0,mac_tx_top_v1
u_hcm_lif_u0_rce_24_ch_1_u0_falcon_top_v1_u0_pcs_top_v1_u0_fec_fec_rx,u_hcm/lif_u0/rce_24_ch_1_u0/falcon_top_v1_u0/pcs_top_v1_u0/fec/fec_rx,fec_rx_v1
u_hcm_lif_u0_rce_24_ch_1_u0_falcon_top_v1_u0_pcs_top_v1_u0_fec_fec_tx,u_hcm/lif_u0/rce_24_ch_1_u0/falcon_top_v1_u0/pcs_top_v1_u0/fec/fec_tx,fec_tx_v1
u_hcm_lif_u0_rce_24_ch_1_u0_falcon_top_v1_u0_pcs_top_v1_u0_pcs,u_hcm/lif_u0/rce_24_ch_1_u0/falcon_top_v1_u0/pcs_top_v1_u0/pcs,pcs_v1
u_hcm_lif_u0_rce_24_ch_u0_falcon_top_v0_u0_flexe_v0_u0_flexe_oh_v0_u0,u_hcm/lif_u0/rce_24_ch_u0/falcon_top_v0_u0/flexe_v0_u0/flexe_oh_v0_u0,flexe_oh_v0
u_hcm_lif_u0_rce_24_ch_u0_falcon_top_v0_u0_flexe_v0_u0_flexe_rx_v0_u0_flexe_rx_wrapper_0_v0_u0,u_hcm/lif_u0/rce_24_ch_u0/falcon_top_v0_u0/flexe_v0_u0/flexe_rx_v0_u0/flexe_rx_wrapper_0_v0_u0,flexe_rx_wrapper_0_v0
u_hcm_lif_u0_rce_24_ch_u0_falcon_top_v0_u0_flexe_v0_u0_flexe_rx_v0_u0_flexe_rx_wrapper_2_v0_u0,u_hcm/lif_u0/rce_24_ch_u0/falcon_top_v0_u0/flexe_v0_u0/flexe_rx_v0_u0/flexe_rx_wrapper_2_v0_u0,flexe_rx_wrapper_2_v0
u_hcm_lif_u0_rce_24_ch_u0_falcon_top_v0_u0_flexe_v0_u0_flexe_tx_v0_u0_flexe_tx_client_fifo_v0_u0_flexe_tx_client_fifo_h_v0_u0,u_hcm/lif_u0/rce_24_ch_u0/falcon_top_v0_u0/flexe_v0_u0/flexe_tx_v0_u0/flexe_tx_client_fifo_v0_u0/flexe_tx_client_fifo_h_v0_u0,flexe_tx_client_fifo_h_v0
