,,,,TC,PC,TT,SC,LG
du_a,/scratch/carina_pddft/carina_ce/DFT/final/du_a/Rev2.0/20190821_sajain_finalDB_20190313_rkb/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.7,1.35,629,843.3,36834,304
du_a,/scratch/carina_pddft/carina_ce/DFT/final/du_a/Rev2.0/20190821_sajain_finalDB_20190313_rkb/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.7,36.95,8135,5959.5,36834,304
du_ab,/scratch/carina_pddft/carina_ce/DFT/final/du_ab/Rev2.0/20191202_sajain_20191202az_0/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.7,67.49,84,124.4,5743,297
du_ab,/scratch/carina_pddft/carina_ce/DFT/final/du_ab/Rev2.0/20191202_sajain_20191202az_0/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.7,95.85,2273,275.8,60224,304
du_ab,/scratch/carina_pddft/carina_ce/DFT/final/du_ab/Rev2.0/20191202_sajain_20191202az_0/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.7,23.48,2779,2251.1,60224,304
du_ab,/scratch/carina_pddft/carina_ce/DFT/final/du_ab/Rev2.0/20191202_sajain_20191202az_0/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.7,75.3,10598,3654.1,60224,304
ffe_top,/scratch/carina_pddft/carina_ce/DFT/final/ffe_top/Rev2.3/20190901_sajain_finalDB_newrpt_20190425_mv/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.7,18.64,148,1837.5,21753,300
ffe_top,/scratch/carina_pddft/carina_ce/DFT/final/ffe_top/Rev2.3/20190901_sajain_finalDB_newrpt_20190425_mv/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.7,98.25,22345,16037.6,863471,304
ffe_top,/scratch/carina_pddft/carina_ce/DFT/final/ffe_top/Rev2.3/20190901_sajain_finalDB_newrpt_20190425_mv/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.7,71.84,7800,18877.3,863471,304
ffe_top,/scratch/carina_pddft/carina_ce/DFT/final/ffe_top/Rev2.3/20190901_sajain_finalDB_newrpt_20190425_mv/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.7,80.45,12822,29892.4,863471,304
